unix_seconds;temperature1
1;14.00
11;14.00
21;13.98
31;13.97
41;14.04
52;13.89
62;13.93
72;13.91
82;13.95
92;13.89
103;13.97
113;13.99
123;13.98
133;13.98
143;14.05
154;13.97
164;13.97
174;13.98
184;13.97
195;13.93
205;14.00
215;14.08
225;14.06
235;14.12
246;14.27
256;14.52
266;14.80
276;15.75
287;16.21
297;16.61
307;16.87
317;17.34
327;17.50
338;17.47
348;17.34
358;17.19
368;16.97
378;16.80
389;16.69
399;16.50
409;16.14
419;15.97
430;15.82
440;15.73
450;15.54
460;15.45
470;15.34
481;15.27
491;15.17
501;15.14
511;15.10
522;15.02
532;14.98
542;14.91
552;14.84
562;14.80
573;14.78
583;14.72
593;14.71
603;14.65
613;14.59
624;14.59
634;14.59
644;14.52
654;14.43
664;14.43
675;14.36
685;14.34
695;14.28
705;14.28
716;14.21
726;14.21
736;14.23
746;14.17
756;14.14
767;14.10
777;14.12
787;14.09
797;14.10
808;14.04
818;14.06
828;14.09
838;14.06
848;14.09
859;14.06
869;14.05
879;14.06
889;14.03
899;14.09
910;14.06
920;14.00
930;14.05
940;13.98
951;14.00
961;14.00
971;14.04
981;13.99
991;13.97
1002;13.99
1012;14.02
