unix_seconds;fish_swam_past
1666445452.450037;0.0
1666445488.450037;75.0
1666445524.450037;150.0
1666445560.450037;225.0
1666445596.450037;300.0
1666445632.450037;375.0
1666445668.450037;450.0
1666445704.450037;525.0
1666445740.450037;600.0
1666445776.450037;675.0
1666445812.450037;750.0
1666445848.450037;825.0
1666445884.450037;900.0
1666445920.450037;975.0
1666445956.450037;1050.0
1666445992.450037;1125.0
1666446028.450037;1200.0
1666446064.450037;1275.0
1666446100.450037;1350.0
1666446136.450037;1425.0
1666446172.450037;1500.0
1666446208.450037;1575.0
1666446244.450037;1650.0
1666446280.450037;1725.0
1666446316.450037;1800.0
1666446352.450037;1875.0
1666446388.450037;1950.0
1666446424.450037;2025.0000000000002
1666446460.450037;2100.0
1666446496.450037;2175.0
1666446532.450037;2250.0
1666446568.450037;2325.0
1666446604.450037;2400.0
1666446640.450037;2475.0
1666446676.450037;2550.0
1666446712.450037;2625.0
1666446748.450037;2700.0
1666446784.450037;2775.0
1666446820.450037;2850.0
1666446856.450037;2925.0
1666446892.450037;3000.0
1666446928.450037;3075.0
1666446964.450037;3150.0
1666447000.450037;3225.0
1666447036.450037;3300.0
1666447072.450037;3375.0
1666447108.450037;3450.0
1666447144.450037;3525.0
1666447180.450037;3600.0
1666447216.450037;3675.0
1666447252.450037;3750.0
1666447288.4500372;3825.0
1666447324.4500372;3900.0
1666447360.4500372;3975.0
1666447396.4500372;4050.0000000000005
1666447432.4500372;4125.0
1666447468.4500372;4200.0
1666447504.4500372;4275.0
1666447540.4500372;4350.0
1666447576.4500372;4425.0
1666447612.4500372;4500.0
1666447648.4500372;4575.0
1666447684.4500372;4650.0
1666447720.4500372;4725.0
1666447756.4500372;4800.0
1666447792.4500372;4875.0
1666447828.4500372;4950.0
1666447864.4500372;5025.0
1666447900.4500372;5100.0
1666447936.4500372;5175.0
1666447972.4500372;5250.0
1666448008.4500372;5325.0
1666448044.4500372;5400.0
1666448080.4500372;5475.0
1666448116.4500372;5550.0
1666448152.4500372;5625.0
1666448188.4500372;5700.0
1666448224.4500372;5775.0
1666448260.4500372;5850.0
1666448296.4500372;5925.0
1666448332.4500372;6000.0
1666448368.4500372;6075.0
1666448404.4500372;6150.0
1666448440.4500372;6225.0
1666448476.4500372;6300.0
1666448512.4500372;6375.0
1666448548.4500372;6450.0
1666448584.4500372;6525.0
1666448620.4500372;6600.0
1666448656.4500372;6675.0
1666448692.4500372;6750.0
1666448728.4500372;6825.0
1666448764.4500372;6900.0
1666448800.4500372;6975.0
1666448836.4500372;7050.0
1666448872.4500372;7125.0
1666448908.4500372;7200.0
1666448944.4500372;7275.0
1666448980.4500372;7350.0
1666449016.4500372;7425.0
1666449052.4500372;7500.0
1666449088.4500372;7575.0
1666449124.4500372;7650.0
1666449160.4500372;7725.0
1666449196.4500372;7800.0
1666449232.4500372;7875.0
1666449268.4500372;7950.0
1666449304.4500372;8025.000000000001
1666449340.4500372;8100.000000000001
1666449376.4500372;8175.000000000001
1666449412.4500372;8250.0
1666449448.4500372;8325.0
1666449484.4500372;8400.0
1666449520.4500372;8475.0
